# S/F, spinT0,T1,T2,
0, 01, -1, 1, 
0, 1-1, -1, 1, 
0, 2-1, -1, -1, 
0, 31, -1, 1, 
0, 41, 1, -1, 
0, 5-1, 1, -1, 
0, 6-1, 1, 1, 
0, 71, -1, -1, 
0, 8-1, -1, -1, 
0, 9-1, -1, 1, 
0, 10-1, 1, -1, 
0, 111, -1, 1, 
0, 121, 1, -1, 
0, 131, -1, -1, 
0, 141, -1, 1, 
0, 15-1, 1, -1, 
0, 161, -1, -1, 
0, 171, -1, 1, 
0, 18-1, -1, 1, 
0, 19-1, -1, -1, 
0, 20-1, 1, 1, 
0, 211, 1, 1, 
0, 221, -1, 1, 
0, 231, 1, 1, 
0, 241, -1, 1, 
0, 25-1, 1, -1, 
0, 26-1, -1, -1, 
0, 27-1, -1, -1, 
0, 281, 1, 1, 
0, 29-1, 1, -1, 
0, 30-1, 1, -1, 
0, 31-1, 1, -1, 
0, 321, 1, 1, 
0, 33-1, -1, 1, 
0, 341, -1, -1, 
0, 351, -1, -1, 
0, 36-1, 1, 1, 
0, 37-1, 1, 1, 
0, 381, -1, -1, 
0, 391, -1, -1, 
0, 40-1, 1, 1, 
0, 411, -1, 1, 
0, 42-1, -1, -1, 
0, 43-1, 1, 1, 
0, 44-1, 1, 1, 
0, 451, -1, 1, 
0, 46-1, 1, -1, 
0, 47-1, 1, -1, 
0, 481, 1, -1, 
0, 491, 1, -1, 
0, 50-1, -1, 1, 
0, 51-1, 1, -1, 
0, 52-1, -1, 1, 
0, 531, -1, 1, 
0, 54-1, 1, -1, 
0, 55-1, 1, 1, 
0, 56-1, 1, 1, 
0, 57-1, -1, -1, 
0, 581, -1, 1, 
0, 59-1, 1, 1, 
0, 601, 1, 1, 
0, 611, 1, -1, 
0, 62-1, -1, 1, 
0, 63-1, -1, 1, 
0, 64-1, 1, 1, 
0, 65-1, 1, -1, 
0, 66-1, 1, 1, 
0, 67-1, -1, 1, 
0, 68-1, -1, -1, 
0, 691, 1, 1, 
0, 70-1, 1, 1, 
0, 711, -1, 1, 
0, 72-1, -1, 1, 
0, 73-1, 1, 1, 
0, 741, 1, 1, 
0, 75-1, 1, 1, 
0, 76-1, -1, 1, 
0, 77-1, -1, 1, 
0, 781, 1, -1, 
0, 79-1, -1, -1, 
0, 801, -1, 1, 
0, 811, -1, -1, 
0, 82-1, 1, -1, 
0, 83-1, 1, -1, 
0, 841, -1, 1, 
0, 85-1, 1, -1, 
0, 86-1, -1, 1, 
0, 87-1, -1, 1, 
0, 881, 1, 1, 
0, 891, -1, 1, 
0, 90-1, 1, -1, 
0, 91-1, 1, -1, 
0, 921, 1, -1, 
0, 931, -1, -1, 
0, 941, -1, 1, 
0, 951, 1, 1, 
0, 961, 1, -1, 
0, 97-1, 1, -1, 
0, 98-1, -1, -1, 
0, 99-1, -1, 1, 
1, 01, 1, -1, 
1, 1-1, -1, 1, 
1, 2-1, 1, 1, 
1, 31, -1, -1, 
1, 41, 1, -1, 
1, 51, -1, -1, 
1, 6-1, -1, 1, 
1, 7-1, -1, -1, 
1, 81, -1, 1, 
1, 9-1, 1, 1, 
1, 10-1, 1, 1, 
1, 111, 1, -1, 
1, 12-1, -1, 1, 
1, 13-1, 1, -1, 
1, 14-1, -1, -1, 
1, 151, 1, 1, 
1, 16-1, -1, -1, 
1, 171, -1, -1, 
1, 181, 1, -1, 
1, 19-1, -1, 1, 
1, 20-1, -1, -1, 
1, 211, -1, 1, 
1, 221, 1, 1, 
1, 23-1, -1, 1, 
1, 24-1, -1, -1, 
1, 251, -1, 1, 
1, 261, 1, -1, 
1, 271, 1, -1, 
1, 281, -1, -1, 
1, 291, -1, -1, 
1, 301, 1, 1, 
1, 31-1, 1, 1, 
1, 321, -1, -1, 
1, 33-1, -1, 1, 
1, 341, -1, 1, 
1, 35-1, 1, 1, 
1, 361, -1, 1, 
1, 37-1, -1, -1, 
1, 38-1, 1, -1, 
1, 391, -1, -1, 
1, 40-1, -1, -1, 
1, 41-1, -1, 1, 
1, 421, 1, -1, 
1, 431, -1, 1, 
1, 44-1, -1, 1, 
1, 451, 1, 1, 
1, 46-1, 1, 1, 
1, 47-1, -1, -1, 
1, 481, -1, -1, 
1, 49-1, 1, -1, 
1, 50-1, -1, -1, 
1, 511, -1, -1, 
1, 52-1, 1, 1, 
1, 53-1, -1, -1, 
1, 54-1, 1, 1, 
1, 551, -1, -1, 
1, 561, 1, -1, 
1, 571, 1, -1, 
1, 581, -1, 1, 
1, 591, -1, -1, 
1, 60-1, 1, -1, 
1, 61-1, -1, -1, 
1, 62-1, 1, -1, 
1, 631, -1, 1, 
1, 64-1, -1, -1, 
1, 651, -1, -1, 
1, 66-1, 1, 1, 
1, 671, 1, 1, 
1, 68-1, 1, 1, 
1, 69-1, -1, -1, 
1, 70-1, 1, 1, 
1, 71-1, -1, 1, 
1, 721, 1, -1, 
1, 731, -1, -1, 
1, 74-1, 1, -1, 
1, 751, -1, 1, 
1, 761, 1, -1, 
1, 77-1, -1, -1, 
1, 781, -1, -1, 
1, 791, -1, 1, 
1, 80-1, -1, 1, 
1, 811, -1, -1, 
1, 821, -1, 1, 
1, 83-1, -1, -1, 
1, 841, -1, -1, 
1, 85-1, 1, 1, 
1, 861, 1, -1, 
1, 87-1, 1, 1, 
1, 881, 1, -1, 
1, 89-1, 1, -1, 
1, 90-1, 1, 1, 
1, 911, -1, -1, 
1, 921, 1, -1, 
1, 931, -1, 1, 
1, 94-1, 1, 1, 
1, 951, -1, -1, 
1, 961, -1, -1, 
1, 971, -1, -1, 
1, 98-1, 1, 1, 
1, 991, 1, -1, 
